ADM;Administrador
AP0;Contas a Pagar(Manu)
AP1;Contas a Pagar(Cons/Rel)
CB0;Caixa e Bancos(Manu)
CB1;Caixa e Bancos(Cons/Rel)
CE0;Controle Estoque(Manu)
CE1;Controle Estoque(Cons/Rel)
CG0;Cadastro Geral Familia(Manu)
CG1;Cadastro Geral Item(Manu)
CG2;Cadastro Geral Cli/Forn(Manu)
CP0;Controle Producao(Manu)
CP1;Controle Producao(Cons/Rel)
CR0;Contas a Receber(Manu)
CR1;Contas a Receber(Cons/Rel)
CR2;Contas a Receber(SCI/Serasa)
CR3;Contas a Receber(Cob.Escritural)
CR4;Contas a Receber(Aprov.Credito)
CT0;Contabilidade(Manu)
CT1;Contabilidade(Cons/Rel)
CU0;Custos(Manu)
CU1;Custos(Cons/Rel)
EC0;Especificos Contab (Manu)
EC1;Especificos Contab (Cons/Rel)
EE0;Especificos Estoque (Manu)
EE1;Especificos Estoque (Cons/Rel)
EF0;Especificos Financeiro (Manu)
EF1;Especificos Financeiro (Cons/Rel)
EG0;Especificos Generico (Manu)
EG1;Especificos Generico (Cons/Rel)
EK0;Especificos Compras (Manu)
EK1;Especificos Compras (Cons/Rel)
EN0;Engenharia(Manu)
EN1;Engenharia(Cons/Rel)
EV0;Especificos Vendas (Manu)
EV1;Especificos Vendas (Cons/Rel)
EX0;Exportacao(Manu)
EX1;Exportacao(Cons/Rel)
FT0;Faturamento(Manu)
FT1;Faturamento(Cons/Rel)
GE0;Gerencial(Manu)
GE1;Gerencial(Cons/Rel)
LJ0;Loja (Manu)
LJ1;Loja (Cons/Rel)
LQ0;Laborat.Quim(Manu)
LQ1;Laborat.Quim(Cons/Rel)
MM0;Manutencao Mecanica(Manu)
MM1;Manutencao Mecanica(Cons/Rel)
NF0;Emissao Notas Fiscais
NF1;Emissao NF 80 Colunas
NF2;Emissao NF Loja
OF0;Obrigacoes Fiscais(Manu)
OF1;Obrigacoes Fiscais(Cons/Rel)
PD0;Pedidos(Manu)
PD1;Pedidos(Cons/Rel)
PD2;Avaliacao de credito
PT0;Patrimonio(Manu)
PT1;Patrimonio(Cons/Rel)
QD0;Qualidade(Manu)
QD1;Qualidade(Cons/Rel)
RE0;Recebimento(Manu)
RE1;Recebimento(Cons/Rel)
SA0;SAC(Manu)
SA1;SAC(Cons/Rel)
SU0;Compras(Manu)
SU1;Compras(Cons/Rel)
